papers,host,parasite,index
"VAN AS, J.G. et.al. (1996) [21370] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Trichodina rhinobatae,21370
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Trichodina rhinobatae,27172
"VAUGHAN, D.B. et.al. (2010) [12252] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Neoheterocotyle robii,12252
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Neoheterocotyle robii,27172
"VAUGHAN, D.B. et.al. (2011) [13675] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Pseudoleptobothrium christisoni,13675
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Pseudoleptobothrium christisoni,27172
"CAIRA, J.N. et.al. (2013) [18038] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Echinobothrium dougbermani,18038
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Echinobothrium dougbermani,19536
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Echinobothrium dougbermani,27172
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Echinobothrium sp,19536
"HAYES, P.M. et.al. (2007) [9746] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Gnathia pantherina,9746
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Gnathia pantherina,27172
"HO, J.-S. et.al. (1981) [14998]",Aculeola nigra,Eudactylina chilensis,14998
"DEETS, G.B. (1994) [17867]",Aculeola nigra,Eudactylina chilensis,17867
"SHINDE, G.B. et.al. (1991) [16402]",Aetobatus flagellum,Polypocephalus bombayensis,16402
"KO, R.C. et.al. (1980) [23996]",Aetobatus flagellum,Echinocephalus sinensis,23996
"OTA, Y. et.al. (2012) [17188]",Aetobatus flagellum,Gnathia trimaculata,17188
"YOUNG, P.C. (1967) [17104]",Aetobatus narinari,Clemacotyle australis,17104
"BEVERLEY-BURTON, M. et.al. (1995) [7571]",Aetobatus narinari,Clemacotyle australis,7571
"CHISHOLM, L.A. (1998) [24082]",Aetobatus narinari,Clemacotyle australis,24082
"CHISHOLM, L.A. et.al. (2001) [23992]",Aetobatus narinari,Clemacotyle australis,23992
"JANSE, M. et.al. (2003) [7102]",Aetobatus narinari,Clemacotyle australis,7102
"MARIE, A.D. et.al. (2005) [7394]",Aetobatus narinari,Clemacotyle australis,7394
"MARIE, A.D. et.al. (2005) [7394]",Aetobatus narinari,Decacotyle elpora,7394
"YOUNG, P.C. (1967) [17104] (used parasite: Papillicotyle floridana )",Aetobatus narinari,Decacotyle floridana,17104
"HENDRIX, S.S. (1994) [17205] (used parasite: Papillicotyle floridana )",Aetobatus narinari,Decacotyle floridana,17205
"CHISHOLM, L.A. et.al. (1998) [17440]",Aetobatus narinari,Decacotyle floridana,17440
"CHISHOLM, L.A. (1998) [24082]",Aetobatus narinari,Decacotyle floridana,24082
"CHISHOLM, L.A. et.al. (2001) [23992]",Aetobatus narinari,Decacotyle floridana,23992
"PULIDO-FLORES, G. et.al. (2005) [21204]",Aetobatus narinari,Decacotyle floridana,21204
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Aetobatus narinari,Decacotyle floridana,23771
"MENDOZA-GARFIAS, B. et.al. (2017) [26032]",Aetobatus narinari,Decacotyle floridana,26032
"CHISHOLM, L.A. et.al. (2001) [23992]",Aetobatus narinari,Decacotyle lymmae,23992
"YOUNG, P.C. (1967) [17104] (used parasite: Papillicotyle octona )",Aetobatus narinari,Decacotyle octona,17104
"CHISHOLM, L.A. et.al. (1998) [17440]",Aetobatus narinari,Decacotyle octona,17440
"MARIE, A.D. et.al. (2005) [7394]",Aetobatus narinari,Decacotyle octona,7394
"CHISHOLM, L.A. et.al. (2004) [7386]",Aetobatus narinari,Dendromonocotyle torosa,7386
"CHISHOLM, L.A. et.al. (2004) [9445]",Aetobatus narinari,Dendromonocotyle torosa,9445
"WHITTINGTON, I.D. (1990) [16925]",Aetobatus narinari,Empruthotrema kearni,16925
"CHISHOLM, L.A. et.al. (1999) [17002]",Aetobatus narinari,Empruthotrema kearni,17002
"HARGIS, W.J. (1955) [17148]",Aetobatus narinari,Thaumatocotyle pseudodasybatis,17148
"WHITTINGTON, I.D. (1990) [16925]",Aetobatus narinari,Thaumatocotyle pseudodasybatis,16925
"CHISHOLM, L.A. et.al. (1999) [17002] (used parasite: Merizocotyle pseudodasybatis )",Aetobatus narinari,Thaumatocotyle pseudodasybatis,17002
"MARIE, A.D. et.al. (2005) [7394]",Aetobatus narinari,Thaumatocotyle pseudodasybatis,7394
"MARIE, A.D. et.al. (2006) [7402]",Aetobatus narinari,Thaumatocotyle pseudodasybatis,7402
"BAER, J.G. et.al. (1962) [17089] (used parasite: Acanthobothrium aetiobatis | used host: Aetobatis narinari)",Aetobatus narinari,Acanthobothrium aetiobatidis,17089
"GOLDSTEIN, R.J. (1967) [16175] (used parasite: Acanthobothrium aetiobatis )",Aetobatus narinari,Acanthobothrium aetiobatidis,16175
"WILLIAMS, H.H. (1969) [16448] (used parasite: Acanthobothrium aetiobatis )",Aetobatus narinari,Acanthobothrium aetiobatidis,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium aetiobatidis,28741
"SHIPLEY, A.E. (1900) [17156] (used parasite: Calliobothrium aetiobatis )",Aetobatus narinari,Acanthobothrium aetiobatis,17156
"CAMPBELL, R.A. et.al. (2002) [16128]",Aetobatus narinari,Acanthobothrium arlenae,16128
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium arlenae,28741
"BROOKS, D.R. et.al. (1980) [16266]",Aetobatus narinari,Acanthobothrium colombianum,16266
"ALVES, P.V. et.al. (2017) [25154]",Aetobatus narinari,Acanthobothrium colombianum,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium colombianum,28741
"WILLIAMS, H.H. (1969) [16448]",Aetobatus narinari,Acanthobothrium coronatum,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium coronatum,28741
"MACCALLUM, G.A. (1921) [16352] (used parasite: Taenia dysbiotos )",Aetobatus narinari,Acanthobothrium dysbiotos,16352
"WILLIAMS, H.H. (1969) [16448]",Aetobatus narinari,Acanthobothrium dysbiotos,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium dysbiotos,28741
"RODRIGUEZ-IBARRA, E. et.al. (2018) [26306] ( used host: Aetobatus cf. narinari)",Aetobatus narinari,Acanthobothrium marquesi,26306
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Aetobatus cf. narinari)",Aetobatus narinari,Acanthobothrium marquesi,28741
"MARQUES, F. et.al. (1997) [7617]",Aetobatus narinari,Acanthobothrium monksi,7617
"ALVES, P.V. et.al. (2017) [25154]",Aetobatus narinari,Acanthobothrium monksi,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium monksi,28741
"BROOKS, D.R. et.al. (1995) [7562]",Aetobatus narinari,Acanthobothrium nicoyaense,7562
"RODRIGUEZ-ORTIZ, B. et.al. (2004) [16969]",Aetobatus narinari,Acanthobothrium nicoyaense,16969
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium nicoyaense,28741
"MACCALLUM, G.A. (1921) [16352] (used parasite: Taenia quadribothria )",Aetobatus narinari,Acanthobothrium quadribothria,16352
"LINTON, E. (1916) [16172] (used parasite: Onchobothrium tortum )",Aetobatus narinari,Acanthobothrium tortum,16172
"BAER, J.G. et.al. (1962) [17089] ( used host: Aetobatis narinari)",Aetobatus narinari,Acanthobothrium tortum,17089
"GOLDSTEIN, R.J. (1967) [16175]",Aetobatus narinari,Acanthobothrium tortum,16175
"WILLIAMS, H.H. (1969) [16448]",Aetobatus narinari,Acanthobothrium tortum,16448
"CAMPBELL, R.A. (1970) [16178]",Aetobatus narinari,Acanthobothrium tortum,16178
"MAYES, M.A. et.al. (1981) [16356]",Aetobatus narinari,Acanthobothrium tortum,16356
"ALVES, P.V. et.al. (2017) [25154]",Aetobatus narinari,Acanthobothrium tortum,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetobatus narinari,Acanthobothrium tortum,28741
"SHIPLEY, A.E. (1900) [17156]",Aetobatus narinari,Adelobothrium aetiobatidis,17156
"JENSEN, K. (2005) [16338]",Aetobatus narinari,Adelobothrium aetiobatidis,16338
"JENSEN, K. (2005) [16338]",Aetobatus narinari,Cephalobothrium aetobatidis,16338
"HEALY, C.J. et.al. (2009) [16908]",Aetobatus narinari,Cephalobothrium aetobatidis,16908
"JENSEN, K. et.al. (2016) [23959]",Aetobatus narinari,Cephalobothrium sp,23959
"SOUTHWELL, T. (1911) [17129]",Aetobatus narinari,Cyclobothrium typicum,17129
"BEVERIDGE, I. et.al. (1988) [16255]",Aetobatus narinari,Didymorhynchus southwelli,16255
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Didymorhynchus southwelli,16112
"MAYES, M.A. et.al. (1981) [16356]",Aetobatus narinari,Disculiceps sp,16356
"ALVES, P.V. et.al. (2017) [25154]",Aetobatus narinari,Disculiceps sp,25154
"BEVERIDGE, I. (1990) [16252] (used parasite: Eutetrarhynchus aetobati )",Aetobatus narinari,Dollfusiella aetobati,16252
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Dollfusiella aetobati,16112
"SOUTHWELL, T. (1911) [17129] (used parasite: Echinobothrium boisii )",Aetobatus narinari,Halysioncum boisii,17129
"TYLER, G.A. (2006) [16430] (used parasite: Echinobothrium boisii )",Aetobatus narinari,Halysioncum boisii,16430
"CAIRA, J.N. et.al. (2013) [19536]",Aetobatus narinari,Halysioncum boisii,19536
"BUTLER, S.A. (1987) [13130]",Aetobatus narinari,Hornellobothrium cobraformis,13130
"JENSEN, K. (2005) [16338]",Aetobatus narinari,Hornellobothrium cobraformis,16338
"JENSEN, K. (2005) [16338]",Aetobatus narinari,Hornellobothrium extensivum,16338
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Kotorella pronosoma,16112
"JENSEN, K. (2005) [16338]",Aetobatus narinari,Kystocephalus translucens,16338
"ZAIDI, D.A. et.al. (1976) [16468]",Aetobatus narinari,Myzophyllobothrium rubrum,16468
"MACCALLUM, G.A. (1917) [16353] (used parasite: Tetrarhynchus narinari )",Aetobatus narinari,Nybelinia narinari,16353
"CAMPBELL, R.A. et.al. (2009) [16972]",Aetobatus narinari,Oncomegas aetobatidis,16972
"TOTH, L.M. et.al. (1992) [16428]",Aetobatus narinari,Oncomegas australiensi,16428
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Oncomegas australiensi,16112
"PALM, H.W. et.al. (2009) [15747]",Aetobatus narinari,Oncomegas australiensi,15747
"PALM, H.W. et.al. (2009) [15747]",Aetobatus narinari,Oncomegas sp,15747
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Parachristianella baverstocki,16112
"WILLIAMS, H.H. (1968) [16443] ( used host: Stoasodon narinari)",Aetobatus narinari,Phyllobothrium panjadi,16443
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Proemotobothrium linstowi,16112
"MACCALLUM, G.A. (1921) [16352]",Aetobatus narinari,Rhynchobothrius aetobati,16352
"MACCALLUM, G.A. (1917) [16353] (used parasite: Tenia narinari )",Aetobatus narinari,Seussapex narinari,16353
"JENSEN, K. et.al. (2014) [21148]",Aetobatus narinari,Seussapex narinari,21148
"BEVERIDGE, I. et.al. (1998) [16256]",Aetobatus narinari,Shirleyrhynchus aetobatidis,16256
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Shirleyrhynchus aetobatidis,16112
"SCHAEFFNER, B.C. (2016) [24246]",Aetobatus narinari,Shirleyrhynchus aetobatidis,24246
"JENSEN, K. (2005) [16338]",Aetobatus narinari,Staurobothrium aetobatidis,16338
"SOUTHWELL, T. (1925) [16408] ( used host: Aetobatis narinari)",Aetobatus narinari,Thysanocephalum crispum,16408
"BEVERIDGE, I. et.al. (1987) [16254]",Aetobatus narinari,Trimacracanthus aetobatidis,16254
"PALM, H.W. (2004) [16112]",Aetobatus narinari,Trygonicola macroporus,16112
"JADHAV, B.V. et.al. (1987) [16330]",Aetobatus narinari,Tylocephalum aurangabadensis,16330
"PRAMANIK, P.B. et.al. (2007) [16377]",Aetobatus narinari,Tylocephalum girindrai,16377
"MACCALLUM, G.A. (1921) [16352]",Aetobatus narinari,Tylocephalum pingue,16352
"ARTHUR, J.R. et.al. (2002) [17190]",Aetobatus narinari,Ascaridia sp,17190
"MACCALLUM, G.A. (1921) [16352]",Aetobatus narinari,Echinocephalus aetobati,16352
"MORAVEC, F. et.al. (2006) [7404]",Aetobatus narinari,Echinocephalus overstreeti,7404
"MORAVEC, F. et.al. (2006) [7404]",Aetobatus narinari,Echinocephalus sinensis,7404
"SHIPLEY, A.E. (1900) [17156]",Aetobatus narinari,Echinocephalus striatus,17156
"MORAVEC, F. et.al. (2006) [7404] (used parasite: Terranova scoliodontis )",Aetobatus narinari,Neoterranova scoliodontis,7404
"DENNIS, M.M. et.al. (2020) [28508]",Aetobatus narinari,Philonema sp,28508
"MORALES-SERNA, F.N. et.al. (2016) [23664]",Aetobatus narinari,Euryphorus suarezi,23664
"CRUZ-QUINTANA, Y. et.al. (2018) [26422] ( used host: Aetobatus cf. narinari)",Aetobatus narinari,Pupulina mantensis,26422
"DIPPENAAR, S.M. et.al. (2007) [15305] (used parasite: Eudactylina hornbosteli )",Aetobatus narinari,nomen nudum,15305
"SCHAEFFNER, B.C. et.al. (2019) [27172] (used parasite: Eudactylina hornbosteli | used host: Aetobatis narinari)",Aetobatus narinari,nomen nudum,27172
"MOREIRA, P.S. et.al. (1978) [23898]",Aetobatus narinari,Excorallana tricornis,23898
"MOREIRA, P.S. et.al. (1978) [23898]",Aetobatus narinari,Gnathia aureola,23898
"OTA, Y. (2015) [22155]",Aetobatus narinari,Gnathia maculosa,22155
"OTA, Y. et.al. (2009) [21221]",Aetobatus narinari,Gnathia nubila,21221
"OTA, Y. (2015) [22155]",Aetobatus narinari,Gnathia nubila,22155
"OTA, Y. (2015) [22155]",Aetobatus narinari,Gnathia teruyukiae,22155
"OTA, Y. et.al. (2012) [17188]",Aetobatus narinari,Gnathia trimaculata,17188
"OTA, Y. (2015) [22155]",Aetobatus narinari,Gnathia trimaculata,22155
"MOREIRA, P.S. et.al. (1978) [23898]",Aetobatus narinari,Praniza viridonitens,23898
"SAWYER, R.T. et.al. (1975) [17101]",Aetobatus narinari,Branchellion ravenelii,17101
"SAWYER, R.T. et.al. (1975) [25687]",Aetobatus narinari,Branchellion ravenelii,25687
"WILLIAMS, E.H. (1982) [25688]",Aetobatus narinari,Branchellion ravenelii,25688
"JENSEN, K. et.al. (2016) [23959]",Aetobatus narutobiei,Adelobothrium sp,23959
"KRITSKY, D.C. et.al. (2020) [29167]",Aetobatus ocellatus,Clemacotyle australis,29167
"KRITSKY, D.C. et.al. (2020) [29167]",Aetobatus ocellatus,Decacotyle elpora,29167
"KRITSKY, D.C. et.al. (2020) [29167]",Aetobatus ocellatus,Decacotyle octona,29167
"KRITSKY, D.C. et.al. (2020) [29167]",Aetobatus ocellatus,Dendromonocotyle torosa,29167
"KRITSKY, D.C. et.al. (2020) [29167]",Aetobatus ocellatus,Empruthotrema kearni,29167
"CHISHOLM, L.A. et.al. (2012) [15785] (used parasite: Merizocotyle pseudodasybatis )",Aetobatus ocellatus,Thaumatocotyle pseudodasybatis,15785
"KRITSKY, D.C. et.al. (2020) [29167] (used parasite: Thaumatocotyle cf. pseudodasybatis )",Aetobatus ocellatus,Thaumatocotyle pseudodasybatis,29167
"JENSEN, K. et.al. (2016) [23959] (used parasite: Adelobothrium aetiobatis )",Aetobatus ocellatus,Adelobothrium aetiobatidis,23959
"JENSEN, K. et.al. (2016) [23959]",Aetobatus ocellatus,Adelobothrium sp,23959
"JENSEN, K. et.al. (2016) [23959]",Aetobatus ocellatus,Cephalobothrium aetobatidis,23959
"JENSEN, K. et.al. (2016) [23959]",Aetobatus ocellatus,Cephalobothrium sp,23959
"MOJICA, K.R. et.al. (2014) [21567]",Aetobatus ocellatus,Hornellobothrium gerdaae,21567
"MOJICA, K.R. et.al. (2014) [21567]",Aetobatus ocellatus,Hornellobothrium iotakotta,21567
"MOJICA, K.R. et.al. (2014) [21567]",Aetobatus ocellatus,Hornellobothrium kolossakotta,21567
"MOJICA, K.R. et.al. (2014) [21567]",Aetobatus ocellatus,Hornellobothrium najaforme,21567
"JENSEN, K. et.al. (2016) [23959]",Aetobatus ocellatus,Hornellobothrium najaforme,23959
"JENSEN, K. et.al. (2016) [23959]",Aetobatus ocellatus,Hornellobothrium sp,23959
"BOXSHALL, G. (2018) [26229]",Aetobatus ocellatus,Caligus chiastos,26229
"BOXSHALL, G. (2018) [26229]",Aetobatus ocellatus,Caligus elasmobranchi,26229
"BOXSHALL, G. (2018) [26229]",Aetobatus ocellatus,Lepeophtheirus acutus,26229
"BOXSHALL, G. (2018) [26229]",Aetobatus ocellatus,Pupulina keiri,26229
"HERNANDEZ-ORTS, J.S. et.al. (2010) [21266] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Empruthotrema chisholmae,21266
"NEIFAR, L. et.al. (1999) [21211] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Heliocotyle kartasi,21211
"NEIFAR, L. et.al. (1999) [10846] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Myliocotyle pteromylaei,10846
"JENSEN, K. et.al. (2016) [23959]",Aetomylaeus bovinus,Aberrapex sp,23959
"CAIRA, J.N. et.al. (2021) [29436]",Aetomylaeus bovinus,Caulobothrium katzi,29436
"CAIRA, J.N. et.al. (2021) [29436]",Aetomylaeus bovinus,Caulobothrium multispelaeum,29436
"HEALY, C.J. et.al. (2009) [16908] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Caulobothrium sp,16908
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Halysioncum sp,19536
"SPRENT, J.F.A. (1990) [21225] ( used host: Pteromylaeus bovina)",Aetomylaeus bovinus,Mawsonascaris pastinacae,21225
"BRUCE, N.L. et.al. (1994) [17029] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Mawsonascaris pastinacae,17029
"OZAK, A.A. et.al. (2018) [26451]",Aetomylaeus bovinus,Lepeophtheirus acutus,26451
"DIPPENAAR, S.M. (2012) [17503] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Pseudocharopinus pteromylaei,17503
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Aetomylaeus bovinus,Pseudocharopinus pteromylaei,27172
"BASUSTA, N. et.al. (2016) [24517] ( used host: Pteromylaeus bovinus)",Aetomylaeus bovinus,Branchellion torpedinis,24517
"CHISHOLM, L.A. et.al. (2005) [7581]",Aetomylaeus maculatus,Empruthotrema dasyatidis,7581
"CHISHOLM, L.A. et.al. (2004) [9444]",Aetomylaeus maculatus,Myliocotyle borneoensis,9444
"SRIVASTAV, A.K. et.al. (1995) [16420] ( used host: Myliobates maculata)",Aetomylaeus maculatus,Acanthobothrium myliomaculata,16420
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetomylaeus maculatus,Acanthobothrium myliomaculata,28741
"HASELI, M. et.al. (2010) [15730]",Aetomylaeus maculatus,Dollfusiella sp,15730
"KOCH, K.R. et.al. (2012) [15523]",Aetomylaeus maculatus,Elicilacunosus sarawakensis,15523
"IVANOV, V.A. et.al. (2013) [19639]",Aetomylaeus maculatus,Halysioncum gibsoni,19639
"WILLIAMS, H.H. (1968) [16443]",Aetomylaeus maculatus,Phyllobothrium panjadi,16443
"JENSEN, K. et.al. (2006) [9450]",Aetomylaeus maculatus,Rhoptrobothrium myliobatidis,9450
"CHISHOLM, L.A. et.al. (2005) [7581]",Aetomylaeus nichofii,Empruthotrema dasyatidis,7581
"CHISHOLM, L.A. et.al. (2004) [9444]",Aetomylaeus nichofii,Myliocotyle multicrista,9444
"RAO, V. (1977) [16226] ( used host: Myliobatis nienhofii)",Aetomylaeus nichofii,Acanthobothrium hanumantharaoi,16226
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Aetomylaeus nichofii,Acanthobothrium hanumantharaoi,28741
"CAMPBELL, R.A. et.al. (2002) [16128]",Aetomylaeus nichofii,Acanthobothrium rhynchobatidis,16128
"HASELI, M. et.al. (2010) [15730] ( used host: Aetomylaeus cf. nichofii)",Aetomylaeus nichofii,Dollfusiella sp,15730
"MOGHADAM, M. et.al. (2014) [21001] ( used host: Aetomylaeus cf. nichofii)",Aetomylaeus nichofii,Echinobothrium parsadrayaiense,21001
"KOCH, K.R. et.al. (2012) [15523]",Aetomylaeus nichofii,Elicilacunosus dharmadii,15523
"KOCH, K.R. et.al. (2012) [15523]",Aetomylaeus nichofii,Elicilacunosus fahmii,15523
"IVANOV, V.A. et.al. (2013) [19639] ( used host: Aetomylaeus cf. nichofii)",Aetomylaeus nichofii,Halysioncum arafurense,19639
"MOGHADAM, M. et.al. (2014) [21001] ( used host: Aetomylaeus cf. nichofii)",Aetomylaeus nichofii,Halysioncum kishiense,21001
"SHINDE, G.B. (1982) [16235] (used parasite: Myliobatibothrium alii | used host: Myliobatis nienhofii)",Aetomylaeus nichofii,Myliobatibothrium sp,16235
"SARWADE, D.V. et.al. (1995) [16220] (used parasite: Myliobatibothrium singhi | used host: Myliobatis nienhofii)",Aetomylaeus nichofii,Myliobatibothrium sp,16220
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Aetomylaeus nichofii,Prochristianella butlerae,17404
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Aetomylaeus nichofii,Prochristianella butlerae,21816
"HASELI, M. et.al. (2010) [15730] ( used host: Aetomylaeus cf. nichofii)",Aetomylaeus nichofii,Prochristianella sp,15730
"JENSEN, K. et.al. (2006) [9450]",Aetomylaeus nichofii,Rhoptrobothrium chongi,9450
"JENSEN, K. et.al. (2006) [9450]",Aetomylaeus nichofii,Rhoptrobothrium gambangi,9450
"JENSEN, K. et.al. (2006) [9450]",Aetomylaeus nichofii,Rhoptrobothrium limae,9450
"CHISHOLM, L.A. et.al. (2009) [7420]",Aetomylaeus vespertilio,Malalophus jensenae,7420
"KOCH, K.R. et.al. (2012) [15523]",Aetomylaeus vespertilio,Aberrapex weipaensis,15523
"KOCH, K.R. et.al. (2012) [15523]",Aetomylaeus vespertilio,Collicocephalus baggioi,15523
"JENSEN, K. et.al. (2016) [23959]",Aetomylaeus vespertilio,Collicocephalus baggioi,23959
"JENSEN, K. et.al. (2016) [23959]",Aetomylaeus vespertilio,Elicilacunosus sp,23959
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Aetomylaeus vespertilio,Prochristianella butlerae,17404
"KOCH, K.R. et.al. (2012) [15523]",Aetomylaeus vespertilio,Rexapex nanus,15523
"JENSEN, K. et.al. (2016) [23959]",Aetomylaeus vespertilio,Rexapex nanus,23959
"BENZ, G.W. et.al. (2007) [7594]",Aetomylaeus vespertilio,Janinecaira darkthread,7594
"OTA, Y. (2015) [22155]",Aetomylaeus vespertilio,Gnathia maculosa,22155
"OTA, Y. et.al. (2012) [17188]",Aetomylaeus vespertilio,Gnathia trimaculata,17188
"OTA, Y. (2015) [22155]",Aetomylaeus vespertilio,Gnathia trimaculata,22155
"YAMAUCHI, T. et.al. (2008) [16521] (used parasite: Stibarobdella macrothela )",Aetomylaeus vespertilio,Pontobdella macrothela,16521
"NAGASAWA, K. et.al. (2008) [16523] (used parasite: Stibarobdella macrothela )",Aetomylaeus vespertilio,Pontobdella macrothela,16523
"DALLARES, S. et.al. (2017) [25091]",Alopias pelagicus,Heterosphyriocephalus encarnae,25091
"CAIRA, J.N. et.al. (2014) [21155]",Alopias pelagicus,Litobothrium aenigmaticum,21155
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias pelagicus,Litobothrium aenigmaticum,23771
"GALLAGHER, K. et.al. (2017) [25740]",Alopias pelagicus,Litobothrium aenigmaticum,25740
"OLSON, P.D. et.al. (2001) [7374]",Alopias pelagicus,Litobothrium amplifica,7374
"HEALY, C.J. et.al. (2009) [16908]",Alopias pelagicus,Litobothrium amplifica,16908
"CAIRA, J.N. et.al. (2014) [21155]",Alopias pelagicus,Litobothrium amplifica,21155
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias pelagicus,Litobothrium amplifica,23771
"CAIRA, J.N. et.al. (1999) [16929]",Alopias pelagicus,Litobothrium daileyi,16929
"OLSON, P.D. et.al. (2001) [7374]",Alopias pelagicus,Litobothrium daileyi,7374
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias pelagicus,Litobothrium daileyi,23771
"CAIRA, J.N. et.al. (2014) [21155]",Alopias pelagicus,Litobothrium janovyi,21155
"OLSON, P.D. et.al. (2001) [7374]",Alopias pelagicus,Litobothrium nickoli,7374
"CAIRA, J.N. et.al. (2014) [21155]",Alopias pelagicus,Litobothrium nickoli,21155
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias pelagicus,Litobothrium nickoli,23771
"PURIVIROJKUL, W. et.al. (2009) [22562]",Alopias pelagicus,Nybelinia sp,22562
"PURIVIROJKUL, W. et.al. (2009) [16578]",Alopias pelagicus,Nybelinia sp,16578
"CADWALLADER, H.F. et.al. (2015) [22678]",Alopias pelagicus,Paronatrema sp,22678
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias pelagicus,Paronatrema vaginicola,23771
"PURIVIROJKUL, W. et.al. (2009) [22562]",Alopias pelagicus,Anisakis sp,22562
"PURIVIROJKUL, W. et.al. (2009) [16578]",Alopias pelagicus,Anisakis sp,16578
"NASHAD, M. et.al. (2019) [28156]",Alopias pelagicus,Bariaka alopiae,28156
"HO, J.-S. et.al. (2011) [14993]",Alopias pelagicus,Dinemoura discrepans,14993
"HO, J.-S. et.al. (2012) [21826]",Alopias pelagicus,Echthrogaleus asiaticus,21826
"CRESSEY, R.F. (1967) [16599]",Alopias pelagicus,Echthrogaleus denticulatus,16599
"DIPPENAAR, S.M. (2004) [15303]",Alopias pelagicus,Echthrogaleus denticulatus,15303
"PURIVIROJKUL, W. et.al. (2009) [22562]",Alopias pelagicus,Echthrogaleus denticulatus,22562
"PURIVIROJKUL, W. et.al. (2009) [16578]",Alopias pelagicus,Echthrogaleus denticulatus,16578
"HENDERSON, A.C. et.al. (2013) [19355]",Alopias pelagicus,Echthrogaleus denticulatus,19355
"SANTANDER-NETO, J. et.al. (2013) [19356]",Alopias pelagicus,Echthrogaleus denticulatus,19356
"PRADEEP, H.D. et.al. (2017) [25961]",Alopias pelagicus,Echthrogaleus denticulatus,25961
"PURIVIROJKUL, W. et.al. (2009) [22562]",Alopias pelagicus,Nogagus ambiguus,22562
"PURIVIROJKUL, W. et.al. (2009) [16578]",Alopias pelagicus,Nogagus ambiguus,16578
"PRADEEP, H.D. et.al. (2017) [25102]",Alopias pelagicus,Pandarus cranchii,25102
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Hepatoxylon trichiuri,16112
"DAILEY, M.D. (1969) [16293]",Alopias superciliosus,Litobothrium alopias,16293
"KUROCHKIN, V.B. et.al. (1973) [16217] (used parasite: Renyxa amplifica )",Alopias superciliosus,Litobothrium amplifica,16217
