AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
341229,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341229,Corynosoma mirabilis,"Skryabin, 1966",unaccepted,synonym,220,Species,341189,Corynosoma bullosum,"(Linstow, 1892) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma mirabilis Skryabin, 1966. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341229 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341229,1,NA,NA,NA,NA,exact,2010-01-26T06:51:47.537Z
1057770,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1057770,Corynosoma nortmeri,"Waindok, Lehnert, Siebert, Pawliczka & Strube, 2018",unaccepted,unavailable,220,Species,NA,NA,NA,20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma nortmeri Waindok, Lehnert, Siebert, Pawliczka & Strube, 2018. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1057770 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1057770,1,0,0,0,NA,exact,2018-02-05T14:57:17.353Z
448864,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448864,Corynosoma obtuscens,"Lincicome, 1943",unaccepted,Synonym,220,Species,341187,Corynosoma australe,"Johnston, 1937",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma obtuscens Lincicome, 1943. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448864 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448864,1,NA,NA,NA,NA,exact,2018-12-07T13:11:30.600Z
448912,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448912,Corynosoma osmeri,"Fujita, 1921",unaccepted,synonym,220,Species,100614,Corynosoma strumosum,"(Rudolphi, 1802) Lühe, 1904",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma osmeri Fujita, 1921. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448912 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448912,1,NA,1,NA,NA,exact,2020-03-02T18:54:54.193Z
341227,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341227,Corynosoma otariae,"Morini & Boero, 1961",unaccepted,synonym,220,Species,341187,Corynosoma australe,"Johnston, 1937",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma otariae Morini & Boero, 1961. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341227 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341227,1,NA,NA,NA,NA,exact,2010-01-26T06:51:47.537Z
1436879,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1436879,Corynosoma pacifica,"Nikolskii, 1974",unaccepted,Malformed suffix,220,Species,341193,Corynosoma hamanni,"(Linstow, 1892) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma pacifica Nikolskii, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1436879 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1436879,1,NA,NA,NA,NA,exact,2020-05-23T09:50:10.310Z
341233,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341233,Corynosoma pacificum,"Nikolskii, 1974",unaccepted,synonym,220,Species,341193,Corynosoma hamanni,"(Linstow, 1892) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma pacificum Nikolskii, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341233 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341233,1,NA,NA,NA,NA,exact,2020-05-23T09:50:10.310Z
448913,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448913,Corynosoma phalacrocoracis,"Yamaguti, 1939",unaccepted,Superseded combination,220,Species,100589,Andracantha phalacrocoracis,"(Yamaguti, 1939) Schmidt, 1975",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma phalacrocoracis Yamaguti, 1939. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448913 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448913,1,NA,NA,NA,NA,exact,2017-11-24T16:43:04.193Z
341195,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341195,Corynosoma pseudohamanni,"Zdzitowiecki, 1984",accepted,NA,220,Species,341195,Corynosoma pseudohamanni,"Zdzitowiecki, 1984",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma pseudohamanni Zdzitowiecki, 1984. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=341195 on 2021-07-16",urn:lsid:marinespecies.org:taxname:341195,1,NA,NA,NA,NA,exact,2008-03-21T13:35:35.343Z
990003,http://www.marinespecies.org/aphia.php?p=taxdetails&id=990003,Corynosoma rauschi,"Golvan, 1959",accepted,NA,220,Species,990003,Corynosoma rauschi,"Golvan, 1959",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma rauschi Golvan, 1959. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=990003 on 2021-07-16",urn:lsid:marinespecies.org:taxname:990003,1,NA,NA,NA,NA,exact,2017-04-17T10:35:39.750Z
448865,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448865,Corynosoma reductum,"(Linstow, 1905) Railliet & Henry, 1907",accepted,NA,220,Species,448865,Corynosoma reductum,"(Linstow, 1905) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma reductum (Linstow, 1905) Railliet & Henry, 1907. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448865 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448865,1,NA,NA,NA,NA,exact,2019-11-27T18:45:12.227Z
448865,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448865,Corynosoma reductum,"(Linstow, 1905) Railliet & Henry, 1907",accepted,NA,220,Species,448865,Corynosoma reductum,"(Linstow, 1905) Railliet & Henry, 1907",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma reductum (Linstow, 1905) Railliet & Henry, 1907. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448865 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448865,1,NA,NA,NA,NA,exact,2019-11-27T18:45:12.227Z
100613,http://www.marinespecies.org/aphia.php?p=taxdetails&id=100613,Corynosoma semerme,"(Forssell, 1904) Lühe, 1911",accepted,NA,220,Species,100613,Corynosoma semerme,"(Forssell, 1904) Lühe, 1911",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma semerme (Forssell, 1904) Lühe, 1911. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=100613 on 2021-07-16",urn:lsid:marinespecies.org:taxname:100613,1,1,NA,1,NA,exact,2019-04-13T13:40:23.077Z
448866,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448866,Corynosoma septentrionale,"Treshchev, 1966",accepted,NA,220,Species,448866,Corynosoma septentrionale,"Treshchev, 1966",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma septentrionale Treshchev, 1966. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448866 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448866,1,NA,NA,NA,NA,exact,2020-05-22T12:34:32.587Z
1436807,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1436807,Corynosoma septentrionalis,"Treshtchev, 1966",unaccepted,Malformed suffix,220,Species,448866,Corynosoma septentrionale,"Treshchev, 1966",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma septentrionalis Treshtchev, 1966. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1436807 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1436807,1,NA,NA,NA,NA,exact,2020-05-22T12:34:32.587Z
990005,http://www.marinespecies.org/aphia.php?p=taxdetails&id=990005,Corynosoma seropedicus,"Machado Filho, 1970",unaccepted,Synonym ,220,Species,990006,Corynosoma clementei,"Giovannoni & Fernandes, 1965",20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Corynosoma seropedicus Machado Filho, 1970. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=990005 on 2021-07-16",urn:lsid:marinespecies.org:taxname:990005,1,NA,NA,1,NA,exact,2020-05-23T13:58:35.917Z
