AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1337062,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1337062,Polyplacotoma mediterranea,"Osigus & Schierwater, 2019",accepted,NA,220,Species,1337062,Polyplacotoma mediterranea,"Osigus & Schierwater, 2019",1337052,Animalia,Placozoa,NA,NA,NA,Polyplacotoma,"WoRMS (2021). Polyplacotoma mediterranea Osigus & Schierwater, 2019. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1337062 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1337062,1,NA,NA,NA,NA,exact,2019-03-26T13:08:58.163Z
142022,http://www.marinespecies.org/aphia.php?p=taxdetails&id=142022,Treptoplax reptans,"Monticelli, 1896",unaccepted,NA,220,Species,NA,NA,NA,142020,Animalia,Placozoa,NA,NA,NA,Treptoplax,"Schierwater, B.; Eitel, M.; DeSalle, R. (2021). World Placozoa Database. Treptoplax reptans Monticelli, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=142022 on 2021-07-19",urn:lsid:marinespecies.org:taxname:142022,1,NA,NA,NA,NA,exact,2009-07-01T12:35:34.733Z
1316502,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1316502,Hoilungia hongkongensis,"Eitel, Schierwater & Wörheide, 2018",accepted,NA,220,Species,1316502,Hoilungia hongkongensis,"Eitel, Schierwater & Wörheide, 2018",1316501,Animalia,Placozoa,NA,NA,Trichoplacidae,Hoilungia,"Schierwater, B.; Eitel, M.; DeSalle, R. (2021). World Placozoa Database. Hoilungia hongkongensis Eitel, Schierwater & Wörheide, 2018. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1316502 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1316502,1,1,NA,NA,NA,exact,2018-12-20T08:58:57.890Z
142023,http://www.marinespecies.org/aphia.php?p=taxdetails&id=142023,Trichoplax adhaerens,"Schulze, 1883",accepted,NA,220,Species,142023,Trichoplax adhaerens,"Schulze, 1883",142021,Animalia,Placozoa,NA,NA,Trichoplacidae,Trichoplax,"Schierwater, B.; Eitel, M.; DeSalle, R. (2021). World Placozoa Database. Trichoplax adhaerens Schulze, 1883. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=142023 on 2021-07-19",urn:lsid:marinespecies.org:taxname:142023,1,NA,NA,NA,NA,exact,2009-07-01T12:35:34.733Z
267957,http://www.marinespecies.org/aphia.php?p=taxdetails&id=267957,Trichoplax reptans,NA,unaccepted,synonym,220,Species,142023,Trichoplax adhaerens,"Schulze, 1883",142021,Animalia,Placozoa,NA,NA,Trichoplacidae,Trichoplax,"Schierwater, B.; Eitel, M.; DeSalle, R. (2021). World Placozoa Database. Trichoplax reptans. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=267957 on 2021-07-19",urn:lsid:marinespecies.org:taxname:267957,1,NA,NA,NA,NA,exact,2009-07-01T12:35:34.733Z
